date,close,high,low,open,volume
2010-01-04,2575.31298828125,2575.9557855625326,2532.797550933974,2533.8495119993167,18339300.0
2010-01-05,2605.175537109375,2605.9674984223448,2575.516537112436,2575.516537112436,57043800.0
2010-01-06,2603.195556640625,2622.0136701166693,2587.6090065397198,2605.379309333124,51569100.0
2010-01-07,2586.794189453125,2611.501234215196,2570.172767023371,2603.3994992296807,45510800.0
2010-01-08,2614.268310546875,2614.434075575914,2583.746305796472,2586.6922359959,73723500.0
2010-01-11,2632.1015625,2649.093820452662,2615.5060176081697,2615.5060176081697,52891200.0
2010-01-12,2659.447265625,2659.872297870263,2623.671561823953,2632.2032113789314,57497400.0
2010-01-13,2632.76953125,2657.799562259171,2623.3587649607152,2657.799562259171,42685500.0
2010-01-14,2645.077880859375,2661.8242988890142,2633.4794556717525,2633.4794556717525,53126200.0
2010-01-15,2646.987060546875,2655.702541631096,2638.253269628444,2646.6499154662783,47643800.0
2010-01-18,2642.445068359375,2648.8207963360765,2629.805424452738,2645.338754364423,30861500.0
2010-01-19,2665.96728515625,2666.4692187459345,2640.075226472021,2642.2511671747734,32768000.0
2010-01-20,2667.162353515625,2689.670266959953,2654.896717400501,2666.4741478667947,36995600.0
2010-01-21,2638.279541015625,2664.5553752508904,2621.258229907652,2664.5553752508904,32438400.0
2010-01-22,2610.238525390625,2636.85931576673,2580.067580179736,2636.85931576673,36693100.0
2010-01-25,2597.759033203125,2609.6294209566645,2575.862668355157,2609.6294209566645,33669400.0
2010-01-26,2578.314697265625,2608.6384683093806,2568.8490011945883,2597.2519485546745,42143000.0
2010-01-27,2564.454345703125,2594.145331108028,2554.7828463666674,2577.807830928932,26010100.0
2010-01-28,2619.463134765625,2619.8762046489737,2565.278228968183,2565.278228968183,33551500.0
2010-01-29,2610.6943359375,2619.159094527972,2569.1661663302893,2619.159094527972,21712000.0
2010-02-01,2587.4482421875,2610.4912895372017,2571.658818421881,2610.4912895372017,32319600.0
2010-02-02,2580.150634765625,2613.571454173968,2574.010004433492,2588.158379985849,30633100.0
2010-02-03,2604.447509765625,2606.181328872721,2580.555375052152,2580.555375052152,38272000.0
2010-02-04,2593.119140625,2610.266423093888,2588.954263508351,2604.6506746581144,38026400.0
2010-02-05,2518.878173828125,2592.3081811768566,2506.7914853942534,2592.3081811768566,34842900.0
2010-02-08,2475.4755859375,2518.5088216281533,2431.7431587348115,2518.5088216281533,36850700.0
2010-02-09,2489.388427734375,2490.012182806647,2439.815157685206,2474.6538925535538,32704700.0
2010-02-10,2483.34130859375,2511.637326133832,2474.304551031404,2490.196022199638,26501600.0
2010-02-11,2507.653564453125,2508.165507456853,2468.758102726864,2483.5424405250374,40917000.0
2010-02-12,2534.038330078125,2536.4671906172907,2501.8877260129016,2508.056431219821,35308600.0
2010-02-15,2517.358154296875,2533.6353533057086,2510.86133664647,2533.6353533057086,16743700.0
2010-02-16,2558.4052734375,2558.5554140762747,2516.2399229227462,2517.559939888362,22302000.0
2010-02-17,2581.23974609375,2581.499745752281,2558.506498955025,2558.506498955025,35680400.0
2010-02-18,2559.934326171875,2581.340475660987,2550.429813188628,2581.340475660987,26304700.0
2010-02-19,2554.2763671875,2559.83327939028,2527.6465462983306,2559.83327939028,21925400.0
2010-02-22,2564.163330078125,2574.8689688865043,2553.7147613615366,2554.679811763104,19028500.0
2010-02-23,2583.550048828125,2583.5942365567034,2537.935862249132,2564.062039869509,32655900.0
2010-02-24,2579.315673828125,2582.322636927905,2555.370560430735,2582.322636927905,40083200.0
2010-02-25,2548.933837890625,2583.058487438458,2535.9934231393554,2579.214642774482,23650800.0
2010-03-01,2554.574462890625,2565.3369826856483,2545.7937994117183,2548.7316731377773,18985100.0
2010-03-02,2576.49072265625,2576.9897266599683,2554.3734199552428,2554.3734199552428,25350600.0
2010-03-03,2566.9892578125,2585.7314486804285,2552.754704101641,2576.9007374994526,34245400.0
2010-03-04,2565.545166015625,2579.432564957662,2557.270585726596,2566.8881313242327,24987400.0
2010-03-05,2578.671630859375,2582.9873808927787,2565.9541081480897,2565.9541081480897,25418300.0
2010-03-08,2626.3486328125,2627.592724980753,2578.873675296934,2578.873675296934,29813600.0
2010-03-09,2657.0634765625,2657.278556073916,2624.012762220824,2626.147688812576,30408700.0
2010-03-10,2670.114990234375,2676.16968603796,2652.7457937367462,2656.7585768875683,30181300.0
2010-03-11,2676.41796875,2687.0135042798283,2661.825518225255,2670.015141387939,40847100.0
2010-03-12,2666.4072265625,2686.132533196624,2660.9533372310025,2676.008903706985,52724000.0
2010-03-15,2669.504150390625,2683.003625685544,2658.4516014715923,2666.306276640478,29518100.0
2010-03-17,2756.15478515625,2756.15478515625,2669.303182058792,2669.303182058792,65719300.0
2010-03-18,2737.13525390625,2779.2476261006154,2718.1999568196616,2756.3554519971967,60311400.0
2010-03-19,2742.8671875,2758.0184522805826,2725.5426676023294,2738.6962075319643,38764300.0
2010-03-22,2702.295654296875,2742.565326471694,2698.1578759645763,2742.565326471694,34251000.0
